Book,Author(s),Original language,First published,Approximate sales in millions,Genre,Id
The Lost Symbol,Dan Brown,English,2009,30,Fiction,61
The Hunger Games,Suzanne Collins,English,2008,29,Young adult fiction,62
James and the Giant Peach,Roald Dahl,English,1961,28,Children's novel,63
The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,Russian,1945,26,Young adult historical novel,64
Who Moved My Cheese?,Spencer Johnson,English,1998,29,"Self-help, motivational, business fable, psychology, leadership, parable",65
A Brief History of Time,Stephen Hawking,English,1988,25,Popular science,66
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25,Novel,67
Lust for Life,Irving Stone,English,1934,25,Biographical novel,68
The Wind in the Willows,Kenneth Grahame,English,1908,25,Children's literature,69
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25,Self-help,70
Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,Russian,1935,24,Novel,71
The Celestine Prophecy,James Redfield,English,1993,23,New-age spiritual novel,72
The Fault in Our Stars,John Green,English,2012,23,Young adult romantic novel,73
The Girl on the Train,Paula Hawkins,English,2015,23,Thriller,74
The Shack,William P. Young,English,2007,22.5,Novel,75
Uncle Styopa (Дядя Стёпа),Sergey Mikhalkov,Russian,1936,21,"Children's Literature, picture book",76
The Godfather,Mario Puzo,English,1969,21,Crime novel,77
Love Story,Erich Segal,English,1970,21,Romance novel,78
Catching Fire,Suzanne Collins,English,2009,21,"Young Adult novel, adventure, dystopian, science fiction",79
Mockingjay,Suzanne Collins,English,2010,20,"Young Adult novel, adventure, war, science fiction, action thriller",80
Kitchen (キッチン),Banana Yoshimoto,Japanese,1988,20,Japanese novel,81
Andromeda Nebula (Туманность Андромеды),Ivan Yefremov,Russian,1957,20,Science fiction novel,82
Autobiography of a Yogi (योगी कथामृत),Paramahansa Yogananda,Hindi,1946,20,Autobiography,83
Gone Girl,Gillian Flynn,English,2012,20,Crime thriller novel,84
All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,German,1929,20,War novel,85
The Bermuda Triangle,Charles Berlitz,English,1974,20,,86
Things Fall Apart ,Chinua Achebe,English,1958,20,Novel,87
Animal Farm ,George Orwell,English,1945,20,"Satirical allegorical novella, Political satire, Dystopian Fiction, Roman à clef",88
Wolf Totem (狼图腾),Jiang Rong,Chinese,2004,20,Semi-autobiographical novel,89
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20,Memoir,90
Jaws,Peter Benchley,English,1974,20,Thriller,91
Love You Forever,Robert Munsch,English,1986,20,"Children's literature, picture book, fiction",92
The Women's Room,Marilyn French,English,1977,20,Feminist novel,93
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20,Pregnancy guide,94
Adventures of Huckleberry Finn,Mark Twain,English,1885,20,"Picaresque novel, Bildungsroman, satire, Robinsonade",95
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20,Young adult novel,96
Pride and Prejudice,Jane Austen,English,1813,20,"Classic regency novel, romance",97
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20,Travel literature,98
The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,20,Unfinished satirical dark comedy novel,99
Where the Wild Things Are,Maurice Sendak,English,1963,20,Children's picture book,100
The Power of Positive Thinking,Norman Vincent Peale,English,1952,20,Self-help,101
The Secret,Rhonda Byrne,English,2006,20,Self-help,102
Fear of Flying,Erica Jong,English,1973,20,Romantic novel,103
Dune,Frank Herbert,English,1965,20,Science fiction novel,104
Charlie and the Chocolate Factory,Roald Dahl,English,1964,20,Children's fantasy novel,105
The Naked Ape,Desmond Morris,English,1968,20,"Social Science, Anthropology, Psychology",106
Where the Crawdads Sing,Delia Owens,English,2018,18,Coming-of-age Murder mystery,107
"Totto-chan, the Little Girl at the Window (窓ぎわのトットちゃん)",Tetsuko Kuroyanagi,Japanese,1981,18,Autobiographical novel,108
Matilda,Roald Dahl,English,1988,17,Children's Literature,109
The Book Thief,Markus Zusak,English,2005,16,Young Adult Fiction,110
The Horse Whisperer,Nicholas Evans,English,1995,16,,111
Goodnight Moon,Margaret Wise Brown,English,1947,16,Children's Literature,112
The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16,Children's Literature,113
All the Light We Cannot See,Anthony Doerr,English,2014,15.3,"Historical fiction, war novel",114
Fifty Shades of Grey,E. L. James,English,2011,15.2,Erotica,115
The Outsiders,S. E. Hinton,English,1967,15,,116
Guess How Much I Love You,Sam McBratney,English,1994,15,,117
Shōgun,James Clavell,English,1975,15,,118
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15,,119
The Pillars of the Earth,Ken Follett,English,1989,15,Historical fiction,120
Perfume (Das Parfum),Patrick Süskind,German,1985,15,,121
The Grapes of Wrath,John Steinbeck,English,1939,15,,122
The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,15,,123
Interpreter of Maladies,Jhumpa Lahiri,English,2000,15,,124
Becoming,Michelle Obama,English,2018,14,,125
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14,Science fiction,126
Tuesdays with Morrie,Mitch Albom,English,1997,14,,127
God's Little Acre,Erskine Caldwell,English,1933,14,,128
Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,14,,129
A Wrinkle in Time,Madeleine L'Engle,English,1962,14,,130
Long Walk to Freedom,Nelson Mandela,English,1994,14,,131
The Old Man and the Sea,Ernest Hemingway,English,1952,13,,132
Life After Life,Raymond Moody,English,1975,13,,133
Peyton Place ,Grace Metalious,English,1956,12.1,,134
The Giver,Lois Lowry,English,1993,12,Dystopian fiction,135
Me Before You,Jojo Moyes,English,2012,12,,136
Norwegian Wood (ノルウェイの森),Haruki Murakami,Japanese,1987,12,,137
The Plague (La Peste),Albert Camus,French,1947,12,,138
No Longer Human (人間失格),Osamu Dazai,Japanese,1948,12,,139
Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,12,,140
The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,11.5,,141
The Prophet,Kahlil Gibran,English,1923,11,,142
The Boy in the Striped Pyjamas,John Boyne,English,2006,11,,143
The Exorcist,William Peter Blatty,English,1971,11,Horror,144
The Gruffalo,Julia Donaldson,English,1999,10.5,,145
Fifty Shades Darker,E. L. James,English,2012,10.4,Erotica,146
Tobacco Road,Erskine Caldwell,English,1932,10,,147
"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10,,148
The Cat in the Hat,Dr. Seuss,English,1957,10.5,,149
Diana: Her True Story,Andrew Morton,English,1992,10,,150
The Help,Kathryn Stockett,English,2009,10,,151
Catch-22,Joseph Heller,English,1961,10,,152
The Stranger (L'Étranger),Albert Camus,French,1942,10,,153
Eye of the Needle,Ken Follett,English,1978,10,,154
The Lovely Bones,Alice Sebold,English,2002,10,,155
Wild Swans,Jung Chang,English,1992,10,,156
Santa Evita,Tomás Eloy Martínez,Spanish,1995,10,,157
Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10,,158
Confucius from the Heart (于丹《论语》心得),Yu Dan,Chinese,2006,10,,159
The Total Woman,Marabel Morgan,English,1974,10,,160
Knowledge-value Revolution (知価革命),Taichi Sakaiya,Japanese,1985,10,,161
Problems in China's Socialist Economy (中国社会主义经济问题研究),Xue Muqiao,Chinese,1979,10,,162
What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10,,163
The Dukan Diet,Pierre Dukan,French,2000,10,,164
The Joy of Sex,Alex Comfort,English,1972,10,,165
The Gospel According to Peanuts,Robert L. Short,English,1965,10,,166
The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,10,,167
Life of Pi,Yann Martel,English,2001,10,,168
The Front Runner,Patricia Nell Warren,English,1974,10,,169
The Goal,Eliyahu M. Goldratt,English,1984,10,,170
Fahrenheit 451,Ray Bradbury,English,1953,10,,171
Angela's Ashes,Frank McCourt,English,1996,10,,172
The Story of My Experiments with Truth (સત્યના પ્રયોગો અથવા આત્મકથા),Mohandas Karamchand Gandhi,Gujarati,1929,10,,173
Bridget Jones's Diary,Helen Fielding,English,1996,10,,174
